"id:ID","uuid","uri"
"63062","31ace10d-2d81-4326-b89e-9c9e106c69a0","https://ct.d4k.dk/cdisc/dataset/cs/2018-03-30/protocol"
"63063","5e42bef2-d2f7-4b46-99c3-864474fa77aa","https://ct.d4k.dk/cdisc/dataset/cs/2018-03-30/sdtm"
"63064","082f189a-5118-4a9f-9425-27468c8f208e","https://ct.d4k.dk/cdisc/dataset/cs/2018-03-30/send"
"63065","b1aa0d77-febf-431f-a023-8740dfc1b303","https://ct.d4k.dk/cdisc/dataset/cs/2018-06-29/cdash"
"63066","599c2396-a5d9-424d-a6d3-b9631ff8db9a","https://ct.d4k.dk/cdisc/dataset/cs/2018-06-29/protocol"
"63067","ec7f8fed-0c14-42bd-bf88-28088b91b484","https://ct.d4k.dk/cdisc/dataset/cs/2018-06-29/sdtm"
"63068","e6443482-69bd-49fc-8529-e95d13e65446","https://ct.d4k.dk/cdisc/dataset/cs/2018-06-29/send"
"63069","c6439b67-0eda-4a74-adb4-8bcc46c6927d","https://ct.d4k.dk/cdisc/dataset/cs/2018-09-28/cdash"
"63070","9022af00-4db9-4efe-aa03-1adb6a4829d1","https://ct.d4k.dk/cdisc/dataset/cs/2018-09-28/protocol"
"63071","c3cd411f-edcc-4db2-8fb7-e20fd58d6b0b","https://ct.d4k.dk/cdisc/dataset/cs/2018-09-28/sdtm"
"63072","ddcbd5d0-5f5a-4c1e-a31b-dc379fad29e8","https://ct.d4k.dk/cdisc/dataset/cs/2018-09-28/send"
"63073","510c5dfb-a143-4bac-a204-7a69a1d7a48a","https://ct.d4k.dk/cdisc/dataset/cs/2018-12-21/adam"
"63074","3fc2cfc7-a7f8-4a5a-900f-e39149e92477","https://ct.d4k.dk/cdisc/dataset/cs/2018-12-21/cdash"
"63075","4766a056-6c99-47ff-898b-820b48d03eb7","https://ct.d4k.dk/cdisc/dataset/cs/2018-12-21/sdtm"
"63076","246926e6-5706-4f66-bb61-d89b2f1841d5","https://ct.d4k.dk/cdisc/dataset/cs/2018-12-21/send"
"63077","028bf4f3-85e3-4421-b696-fae656302b04","https://ct.d4k.dk/cdisc/dataset/cs/2019-03-29/adam"
"63078","762dd938-90e3-42c1-979f-158c6f8157ed","https://ct.d4k.dk/cdisc/dataset/cs/2019-03-29/cdash"
"63079","7382e6f9-5c2b-4d07-96b8-c2c255466443","https://ct.d4k.dk/cdisc/dataset/cs/2019-03-29/protocol"
